Task ID;Status;Reservation ID;Listing;Can start from;Should end by;Cost;Cost currency;Categories
4600310;Done;24629232;Bajcsy 19;2024.04.19 11:00;2024.04.20 15:00;23;EUR;Cleaning
4600311;Done;24733605;Bajcsy 19;2024.05.01 11:00;2024.05.01 15:00;23;EUR;Cleaning
4600312;To Do;24889714;Bajcsy 19;2024.05.21 11:00;2024.05.21 15:00;23;EUR;Cleaning
4600313;Done;24911203;Bajcsy 19;2024.04.07 11:00;2024.04.07 15:00;23;EUR;Cleaning
4600314;To Do;25549117;Bajcsy 19;2024.06.20 11:00;2024.06.21 15:00;23;EUR;Cleaning
4600315;To Do;25601903;Bajcsy 19;2024.05.29 11:00;2024.05.30 15:00;23;EUR;Cleaning
4600316;To Do;25975132;Bajcsy 19;2024.05.12 11:00;2024.05.12 15:00;23;EUR;Cleaning
4600317;Done;24397405;Bajcsy59;2024.04.16 11:00;2024.04.19 15:00;23;EUR;Cleaning
4600318;To Do;23421268;Bajcsy59;2024.06.17 11:00;2024.06.18 15:00;23;EUR;Cleaning
4600319;To Do;23421270;Bajcsy59;2024.06.20 11:00;2024.06.26 15:00;23;EUR;Cleaning
4600320;To Do;23421272;Bajcsy59;2024.07.21 11:00;2024.08.06 15:00;23;EUR;Cleaning
4600321;To Do;23421273;Bajcsy59;2024.08.11 11:00;2024.09.19 15:00;23;EUR;Cleaning
4600322;To Do;23421274;Bajcsy59;2024.09.22 11:00;;23;EUR;Cleaning
4600323;Done;23730177;Bajcsy59;2024.04.09 11:00;2024.04.11 15:00;23;EUR;Cleaning
4600324;Done;24494489;Bajcsy59;2024.04.30 11:00;2024.05.01 15:00;23;EUR;Cleaning
4600325;To Do;24766708;Bajcsy59;2024.05.09 11:00;2024.05.10 15:00;23;EUR;Cleaning
4600326;To Do;24773408;Bajcsy59;2024.05.05 11:00;2024.05.06 15:00;23;EUR;Cleaning
4600327;To Do;24806777;Bajcsy59;2024.05.31 11:00;2024.05.31 15:00;23;EUR;Cleaning
4600328;Done;24887596;Bajcsy59;2024.04.04 11:00;2024.04.04 15:00;23;EUR;Cleaning
4600329;Done;25811313;Bajcsy59;2024.03.30 11:00;2024.03.30 15:00;23;EUR;Cleaning
4600330;Done;25871496;Bajcsy59;2024.04.22 11:00;2024.04.26 15:00;23;EUR;Cleaning
4600331;To Do;23391781;Lovag 8;2024.06.24 11:00;2024.07.05 15:00;18;EUR;Cleaning
4600332;To Do;23398066;Lovag 8;2024.06.21 11:00;2024.06.21 15:00;18;EUR;Cleaning
4600333;To Do;23386186;Vas 4 / 2;2024.08.25 11:00;2024.11.28 15:00;18;EUR;Cleaning
4600334;To Do;23386192;Vas 4 / 2;2024.07.01 11:00;2024.07.03 15:00;18;EUR;Cleaning
4600335;To Do;23385297;Lovag 8;2024.07.21 11:00;2024.08.06 15:00;18;EUR;Cleaning
4600336;To Do;23385307;Lovag 8;2024.08.13 11:00;2024.08.29 15:00;18;EUR;Cleaning
4600337;To Do;23385308;Lovag 8;2024.07.10 11:00;2024.07.18 15:00;18;EUR;Cleaning
4600338;Cancelled;23385309;Lovag 8;2024.05.07 11:00;2024.05.10 15:00;18;EUR;Cleaning
4600339;To Do;23386485;Lovag 8;2024.08.31 11:00;;18;EUR;Cleaning
4600340;Cancelled;23386537;Lovag 8;2024.06.17 11:00;2024.06.19 15:00;18;EUR;Cleaning
4600341;To Do;23388847;Lovag 8;2024.05.18 11:00;2024.05.18 15:00;18;EUR;Cleaning
4600342;Done;23446000;Lovag 8;2024.04.02 11:00;2024.04.03 15:00;18;EUR;Cleaning
4600343;Cancelled;23450996;Lovag 8;2024.05.14 11:00;2024.05.14 15:00;18;EUR;Cleaning
4600344;Cancelled;23385474;Vas 4 / 1;2024.07.23 11:00;2024.08.06 15:00;18;EUR;Cleaning
4600345;To Do;23426943;Vas 4 / 1;2024.08.14 11:00;;18;EUR;Cleaning
4600346;To Do;23580799;Vas 4 / 1;2024.06.20 11:00;2024.08.06 15:00;18;EUR;Cleaning
